id,group,scope,faction_id,quest_type,result_type,line_type,importance,weight,template,tags_json
crt_m8b_unique_great_02,m8b_unique,unique_elite,,,great_success,detail,veryHigh,100,"유니크의 표식은 마지막 일격이 닿기 전에 흔들렸다.","{""position"":""resolution""}"
crt_m8b_unique_success_02,m8b_unique,unique_elite,,,success,detail,veryHigh,100,"유니크는 사라졌지만 흔적은 다음 의뢰의 단서가 되었다.","{""position"":""aftermath""}"
crt_m8b_unique_failure_02,m8b_unique,unique_elite,,,failure,detail,veryHigh,100,"유니크의 두 번째 일격이 후퇴 신호보다 빨랐다.","{""position"":""crisis""}"
crt_m8b_unique_critical_02,m8b_unique,unique_elite,,,critical_failure,detail,veryHigh,100,"유니크 앞에서 전열은 한 라운드도 버티지 못했다.","{""position"":""crisis"",""decisive_keyword_key"":""formation_split""}"
crt_m8b_unique_great_03,m8b_unique,unique_elite,,,great_success,detail,veryHigh,90,"{merc.name}의 결정적 일격이 유니크의 약점을 정확히 짚었다.","{""position"":""resolution""}"
crt_m8b_unique_critical_03,m8b_unique,unique_elite,,,critical_failure,detail,veryHigh,90,"유니크는 자기 디버프를 검은 빛으로 떨쳐냈고 일행은 후퇴를 늦췄다.","{""position"":""crisis"",""skill_id"":""skill_enemy_self_dispel""}"
crt_m8b_unique_great_04,m8b_unique,unique_elite,,,great_success,detail,veryHigh,85,"{ally.name}의 보조가 없었다면 유니크의 결정타는 다른 결과를 만들었을 것이다.","{""position"":""development""}"
crt_m8b_unique_success_03,m8b_unique,unique_elite,,,success,detail,veryHigh,85,"유니크는 마지막 표식을 남기고 무너졌다.","{""position"":""resolution""}"
crt_m8b_settle_great_01,m8b_settle,settlement_event,,,great_success,summary,high,100,"거점 사건이 정리됐고 마을 사람들은 일행의 이름을 다시 한 번 불렀다.","{}"
crt_m8b_settle_success_01,m8b_settle,settlement_event,,,success,summary,high,100,"거점 사건은 깨끗하지 않게 끝났지만 적어도 끝났다.","{}"
crt_m8b_settle_failure_01,m8b_settle,settlement_event,,,failure,summary,high,100,"거점 사건의 불씨는 아직 꺼지지 않았다.","{}"
crt_m8b_settle_critical_01,m8b_settle,settlement_event,,,critical_failure,summary,high,100,"마을 한쪽이 무너졌고 거점 사건은 더 큰 그림자가 되었다.","{}"
crt_m8b_faction_adv_great_03,m8b_faction,faction_named,faction_adventurers_guild,,great_success,summary,normal,100,"길드 기록원의 잉크가 마르기 전에 흔적은 정리됐다.","{}"
crt_m8b_faction_adv_failure_03,m8b_faction,faction_named,faction_adventurers_guild,,failure,summary,normal,100,"기록판은 비어 있었고 다음 의뢰는 더 어렵게 매겨질 것이다.","{}"
crt_m8b_faction_mer_great_03,m8b_faction,faction_named,faction_merchants_alliance,,great_success,summary,normal,100,"수레는 봉인 채로 도착했고 케일의 입가는 잠시 풀렸다.","{}"
crt_m8b_faction_mer_critical_03,m8b_faction,faction_named,faction_merchants_alliance,,critical_failure,summary,normal,100,"봉인이 깨졌고 신용 장부에는 다른 색의 줄이 그어졌다.","{}"
crt_m8b_faction_war_great_03,m8b_faction,faction_named,faction_warriors_guild,,great_success,summary,high,100,"결투장의 먼지가 가라앉기 전에 일행의 깃발이 먼저 올랐다.","{}"
crt_m8b_faction_war_failure_03,m8b_faction,faction_named,faction_warriors_guild,,failure,summary,high,100,"결투장은 정적으로 끝났고 시련관은 보고서를 짧게 정리했다.","{}"
crt_m8b_faction_sun_great_01,m8b_faction,faction_named,faction_sun_order,,great_success,detail,normal,95,"{region.name}의 유물 흔적은 빛 아래로 끌려나왔다.","{""position"":""resolution""}"
crt_m8b_faction_sun_failure_01,m8b_faction,faction_named,faction_sun_order,,failure,detail,normal,95,"유물 안쪽에서 들려온 신음 소리가 신관의 보고서를 어둡게 만들었다.","{""position"":""crisis""}"
crt_m8b_faction_mage_great_01,m8b_faction,faction_named,faction_mage_towers,,great_success,detail,high,95,"흑마법사의 광역 마법은 두 번째 영창을 시작하지 못했다.","{""position"":""resolution"",""skill_id"":""skill_mage_arcane_blast""}"
crt_m8b_faction_mage_critical_01,m8b_faction,faction_named,faction_mage_towers,,critical_failure,detail,high,95,"흑마법사의 영창은 멈추지 않았고 일행은 결정적 장면을 빼앗겼다.","{""position"":""crisis"",""skill_id"":""skill_mage_arcane_blast""}"
crt_m8b_quest_great_01,m8b_quest,quest_type,,raid,great_success,detail,normal,100,"전열을 밀어붙이는 사이 적의 후열이 그늘에 묻혔다.","{""position"":""resolution""}"
crt_m8b_quest_failure_01,m8b_quest,quest_type,,hunt,failure,detail,normal,100,"표적은 마지막 발자국에서 다시 빠져나갔다.","{""position"":""crisis""}"
crt_m8b_quest_great_02,m8b_quest,quest_type,,escort,great_success,detail,normal,100,"수레 행렬은 발이 멈추지 않았고 호위선은 끊기지 않았다.","{""position"":""resolution"",""decisive_keyword_key"":""cart_saved""}"
crt_m8b_quest_critical_01,m8b_quest,quest_type,,explore,critical_failure,detail,normal,100,"지도 표식이 어긋났고 일행은 잘못된 갈림길에서 시간을 잃었다.","{""position"":""crisis"",""decisive_keyword_key"":""map_corrected""}"
crt_m8b_skill_warrior_fury_01,m8b_skill,combat_skill,,,great_success,detail,high,100,"{merc.name}이 분노에 휩싸였다. 공격력 강화 3턴.","{""position"":""development"",""skill_id"":""skill_warrior_battle_fury"",""status_effect_id"":""buff_attack_up""}"
crt_m8b_skill_warrior_fury_02,m8b_skill,combat_skill,,,success,detail,high,100,"{merc.name}이 위기에 분노를 끌어올렸다. 다음 일격이 무거워졌다.","{""position"":""crisis"",""skill_id"":""skill_warrior_battle_fury""}"
crt_m8b_skill_warrior_fury_03,m8b_skill,combat_skill,,,failure,detail,high,90,"{merc.name}이 분노를 토했지만 적의 진형은 흔들리지 않았다.","{""position"":""crisis"",""skill_id"":""skill_warrior_battle_fury""}"
crt_m8b_skill_warrior_shield_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}이 방패로 길을 열었다.","{""position"":""crisis"",""skill_id"":""skill_warrior_shield_bulwark"",""decisive_keyword_key"":""shield_opens_path""}"
crt_m8b_skill_warrior_shield_02,m8b_skill,combat_skill,,,success,detail,normal,100,"{merc.name}이 일격을 방패로 받아냈다.","{""position"":""crisis"",""skill_id"":""skill_warrior_shield_bulwark""}"
crt_m8b_skill_rogue_blind_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}이 적 전열에 연막을 던졌다. 약화가 라운드 안에 퍼졌다.","{""position"":""development"",""skill_id"":""skill_rogue_mass_blind"",""status_effect_id"":""debuff_attack_down""}"
crt_m8b_skill_rogue_blind_02,m8b_skill,combat_skill,,,success,detail,normal,100,"{merc.name}의 연막이 적 진열을 둔하게 만들었다.","{""position"":""development"",""skill_id"":""skill_rogue_mass_blind""}"
crt_m8b_skill_enemy_poison_01,m8b_skill,combat_skill,,,failure,detail,normal,90,"{enemy.name}의 독니가 {merc.name}의 빈틈을 물었다. 독 피해가 라운드 시작마다 남는다.","{""position"":""crisis"",""skill_id"":""skill_enemy_poison_bite"",""status_effect_id"":""dot_poisoned""}"
crt_m8b_skill_ranger_focus_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}이 호흡을 멈추고 조준했다. 다음 사격이 무거워진다.","{""position"":""development"",""skill_id"":""skill_ranger_marksman_focus"",""status_effect_id"":""buff_accuracy_up""}"
crt_m8b_skill_ranger_volley_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}의 3연사가 {enemy.name}를 차례로 두드렸다.","{""position"":""resolution"",""skill_id"":""skill_ranger_volley_shot"",""is_combo_compression"":true}"
crt_m8b_skill_ranger_volley_02,m8b_skill,combat_skill,,,success,detail,normal,100,"{merc.name}의 연사가 {enemy.name}의 균형을 흔들었다.","{""position"":""development"",""skill_id"":""skill_ranger_volley_shot""}"
crt_m8b_skill_mage_blast_01,m8b_skill,combat_skill,,,great_success,detail,high,100,"{merc.name}의 마법이 적 무리를 한꺼번에 휩쓸었다.","{""position"":""resolution"",""skill_id"":""skill_mage_arcane_blast""}"
crt_m8b_skill_mage_blast_02,m8b_skill,combat_skill,,,success,detail,high,100,"{merc.name}의 마법이 적 무리에 거센 충격을 남겼다.","{""position"":""development"",""skill_id"":""skill_mage_arcane_blast""}"
crt_m8b_skill_mage_stun_01,m8b_skill,combat_skill,,,great_success,detail,high,100,"{merc.name}의 마법이 {enemy.name}을 기절시켰다.","{""position"":""crisis"",""skill_id"":""skill_mage_stun_bolt"",""status_effect_id"":""mez_stunned""}"
crt_m8b_skill_mage_stun_02,m8b_skill,combat_skill,,,success,detail,high,100,"{merc.name}의 마법이 {enemy.name}의 움직임을 잠시 묶었다.","{""position"":""crisis"",""skill_id"":""skill_mage_stun_bolt""}"
crt_m8b_skill_support_aegis_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}의 오라가 아군을 감쌌다. 방어가 두꺼워졌다.","{""position"":""entry"",""skill_id"":""skill_support_aegis_aura"",""status_effect_id"":""buff_defense_up""}"
crt_m8b_skill_support_aegis_02,m8b_skill,combat_skill,,,success,detail,normal,100,"{merc.name}의 오라가 잠시 일행을 단단하게 만들었다.","{""position"":""entry"",""skill_id"":""skill_support_aegis_aura""}"
crt_m8b_skill_support_cleanse_01,m8b_skill,combat_skill,,,great_success,detail,normal,100,"{merc.name}의 외침이 아군을 휘감은 검은 줄을 풀어냈다.","{""position"":""resolution"",""skill_id"":""skill_support_cleansing_word""}"
crt_m8b_skill_specialist_foot_01,m8b_skill,combat_skill,,,success,detail,normal,100,"{merc.name}이 발밑을 고쳐 잡고 한 박자 늦게 비켜섰다.","{""position"":""crisis"",""skill_id"":""skill_specialist_adaptive_footwork"",""status_effect_id"":""buff_evasion_up""}"
crt_m8b_skill_enemy_bleed_01,m8b_skill,combat_skill,,,failure,detail,normal,100,"{enemy.name}이 {merc.name}에게 더러운 칼날을 그었다. 출혈이 시작됐다.","{""position"":""crisis"",""skill_id"":""skill_enemy_bleeding_cut"",""status_effect_id"":""dot_bleeding""}"
crt_m8b_skill_enemy_armor_01,m8b_skill,combat_skill,,,failure,detail,normal,100,"{enemy.name}의 거대 망치가 {merc.name}의 갑옷을 깨놓았다.","{""position"":""crisis"",""skill_id"":""skill_enemy_armor_break"",""status_effect_id"":""debuff_defense_down""}"
crt_m8b_skill_enemy_taunt_01,m8b_skill,combat_skill,,,failure,detail,normal,100,"{enemy.name}의 포효에 파티 여럿이 한 박자 늦게 움직였다.","{""position"":""crisis"",""skill_id"":""skill_enemy_taunt_roar"",""status_effect_id"":""debuff_attack_down""}"
crt_m8b_skill_enemy_summon_01,m8b_skill,combat_skill,,,failure,detail,high,100,"{enemy.name}이 부하 무리를 다시 불러냈다.","{""position"":""crisis"",""skill_id"":""skill_enemy_summon""}"
crt_m8b_scene_entry_01,m8b_scene,scene,,,great_success,detail,normal,100,"{region.name}에서 전열이 자리를 잡았다.","{""position"":""entry""}"
crt_m8b_scene_entry_02,m8b_scene,scene,,raid,success,detail,normal,100,"무너진 문가의 먼지가 가라앉기 전에 일행의 발이 먼저 닿았다.","{""position"":""entry""}"
crt_m8b_scene_entry_03,m8b_scene,scene,,escort,success,detail,normal,100,"밤길 수레 행렬 옆으로 일행이 자리를 잡았다.","{""position"":""entry""}"
crt_m8b_scene_entry_04,m8b_scene,scene,,hunt,success,detail,normal,100,"외곽 숲 짐승길에서 추적이 시작됐다.","{""position"":""entry""}"
crt_m8b_scene_entry_05,m8b_scene,scene,,explore,success,detail,normal,100,"부서진 요새 성벽 그늘 안으로 일행이 들어섰다.","{""position"":""entry""}"
crt_m8b_scene_dev_01,m8b_scene,scene,,,success,detail,normal,100,"{merc.name}의 일격이 적 전열을 한 발짝 물러서게 했다.","{""position"":""development""}"
crt_m8b_scene_dev_02,m8b_scene,scene,,,great_success,detail,normal,100,"{merc.name}이 결정적 장면을 만들었고 일행 전체의 호흡이 맞춰졌다.","{""position"":""development""}"
crt_m8b_scene_crisis_01,m8b_scene,scene,,,failure,detail,normal,95,"{merc.name}의 숨이 끊기듯 흔들렸다.","{""position"":""crisis"",""decisive_keyword_key"":""breath_lost""}"
crt_m8b_scene_crisis_02,m8b_scene,scene,,,critical_failure,detail,normal,95,"{merc.name}이 부상.","{""position"":""crisis""}"
crt_m8b_scene_resol_01,m8b_scene,scene,,,great_success,detail,normal,100,"{enemy.name}이 쓰러졌다.","{""position"":""resolution""}"
crt_m8b_scene_resol_02,m8b_scene,scene,,,success,detail,normal,100,"적 무리는 후퇴 신호를 늦게 잡았다.","{""position"":""resolution"",""decisive_keyword_key"":""retreat_signal_late""}"
crt_m8b_scene_after_01,m8b_scene,scene,,,great_success,detail,normal,100,"전열이 정리됐고 일행은 다음 호흡을 짧게 골랐다.","{""position"":""aftermath""}"
crt_m8b_scene_after_02,m8b_scene,scene,,,success,detail,normal,100,"응급 처치가 전열 뒤에서 짧게 끝났다.","{""position"":""aftermath"",""decisive_keyword_key"":""field_dressing_done""}"
crt_m8b_scene_after_03,m8b_scene,scene,,,failure,detail,normal,100,"늦게 확인된 이름이 한 줄 더 있었다.","{""position"":""aftermath"",""decisive_keyword_key"":""name_checked_late""}"
crt_m8b_scene_after_04,m8b_scene,scene,,,critical_failure,detail,normal,100,"후퇴 신호가 늦었다.","{""position"":""aftermath"",""decisive_keyword_key"":""retreat_signal_late""}"
crt_m8b_scene_status_01,m8b_scene,scene,,,success,detail,normal,100,"{merc.name}의 출혈이 사라졌다.","{""position"":""aftermath"",""status_effect_id"":""dot_bleeding""}"
crt_m8b_scene_status_02,m8b_scene,scene,,,success,detail,normal,100,"{merc.name}의 강화가 라운드를 다 채우지 못하고 가라앉았다.","{""position"":""aftermath"",""status_effect_id"":""buff_attack_up""}"
crt_m8b_scene_status_03,m8b_scene,scene,,,great_success,detail,normal,100,"{merc.name}의 방어 오라가 라운드 끝에 가라앉았다.","{""position"":""aftermath"",""status_effect_id"":""buff_defense_up""}"
crt_m8b_scene_status_04,m8b_scene,scene,,,success,detail,normal,100,"{merc.name}이 기절에서 풀려나며 다음 행동을 다시 다잡았다.","{""position"":""aftermath"",""status_effect_id"":""mez_stunned""}"
crt_m8b_scene_status_05,m8b_scene,scene,,,failure,detail,normal,100,"{merc.name}이 출혈로 또 한 차례 피해를 입었다.","{""position"":""crisis"",""status_effect_id"":""dot_bleeding""}"
